States,Rainfall,Ground Water,Temperature,Soil type,Season,Crops,Fertilisers required,Cost of cultivation,Expected revenues,Quantity of seeds per hectare,Duration of cultivation,Demand of crop,Crops for mixed cropping
Andhra Pradesh,110.75,9.74,31.5,Clayey,Kharif,Paddy IGKVR-2 (IET 19795),"Potassium,Urea",22810,63851.8391,25kg,105-123,High,"Gram, Groundnut"
Andhra Pradesh,110.75,9.74,31.5,Alluvial,Kharif,Paddy IGKVR-2 (IET 19795),"Potassium,Urea",22810,63851.8391,25kg,105-123,High,"Gram, Groundnut"
Arunachal Pradesh,325.0,5.0,31.5,Clayey,Kharif,Paddy IGKVR-2 (IET 19795),"Potassium,Urea",22810,63851.8391,25kg,105-123,High,"Gram, Groundnut"
Arunachal Pradesh,325.0,5.0,31.5,Alluvial,Kharif,Paddy IGKVR-2 (IET 19795),"Potassium,Urea",22810,63851.8391,25kg,105-123,High,"Gram, Groundnut"
Andhra Pradesh,110.75,9.74,33.0,Clayey,Kharif,Paddy CR Dhan 501 (IET 19189),"Potassium,Urea",22810,63851.8391,25kg,105-126,High,"Gram, Groundnut"
Andhra Pradesh,110.75,9.74,33.0,Alluvial,Kharif,Paddy CR Dhan 501 (IET 19189),"Potassium,Urea",22810,63851.8391,25kg,105-126,High,"Gram, Groundnut"
Haryana,47.5,15.0,33.0,Clayey,Kharif,Paddy CR Dhan 501 (IET 19189),"Potassium,Urea",22810,63851.8391,25kg,105-126,High,"Gram, Groundnut"
Haryana,47.5,15.0,33.0,Alluvial,Kharif,Paddy CR Dhan 501 (IET 19189),"Potassium,Urea",22810,63851.8391,25kg,105-126,High,"Gram, Groundnut"
Maharashtra,246.0,3.2,33.0,Clayey,Kharif,Paddy CR Dhan 501 (IET 19189),"Potassium,Urea",22810,63851.8391,25kg,105-126,High,"Gram, Groundnut"
Maharashtra,246.0,3.2,33.0,Alluvial,Kharif,Paddy CR Dhan 501 (IET 19189),"Potassium,Urea",22810,63851.8391,25kg,105-126,High,"Gram, Groundnut"
Andhra Pradesh,110.75,9.74,20.5,Alluvial,rabi,Wheat VL Gehun 907 (VL 907),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-154,High,"Horse Gram, Black Gram, Mustard"
Arunachal Pradesh,325.0,5.0,20.5,Alluvial,rabi,Wheat VL Gehun 907 (VL 907),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-154,High,"Horse Gram, Black Gram, Mustard"
Chhatisgarh,130.4,5.0,20.5,Alluvial,rabi,Wheat VL Gehun 907 (VL 907),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-154,High,"Horse Gram, Black Gram, Mustard"
Chandigarh,105.5,28.0,20.5,Alluvial,rabi,Wheat VL Gehun 907 (VL 907),"Phosphorus,Nitrogen",17714,50166.54,112kg,60-154,High,"Horse Gram, Black Gram, Mustard"
Andhra Pradesh,110.75,9.74,22.0,Alluvial,rabi,Wheat WHD 943,"Phosphorus,Nitrogen",17714,50166.54,112kg,60-157,High,"Horse Gram, Black Gram, Mustard"
Ladakh,15.0,22.3,22.0,Alluvial,rabi,Wheat WHD 943,"Phosphorus,Nitrogen",17714,50166.54,112kg,60-157,High,"Horse Gram, Black Gram, Mustard"
Andhra Pradesh,110.75,9.74,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Andhra Pradesh,110.75,9.74,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Bihar,125.6,7.5,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Bihar,125.6,7.5,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Chhatisgarh,130.4,5.0,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Chhatisgarh,130.4,5.0,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Maharashtra,246.0,3.2,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Maharashtra,246.0,3.2,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Nagaland,215.0,18.1,23.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Rajasthan,48.8,32.0,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Rajasthan,48.8,32.0,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Uttar Pradesh,134.65,6.0,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Uttar Pradesh,134.65,6.0,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
West Bengal,250.0,9.0,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
West Bengal,250.0,9.0,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,27.5,Clayey,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Dadra Nagar Haveli and Daman and Diu,89.0,2.0,27.5,Black,Kharif,Millet Nandi-65 (MH-1549),"Nitrogen,Magnesium,Potassium,Phosphorus",21570,59556.38316,5kg,65-70,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Andhra Pradesh,110.75,9.74,20.0,Alluvial,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
Andhra Pradesh,110.75,9.74,20.0,Black,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
Bihar,125.6,7.5,20.0,Alluvial,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
Bihar,125.6,7.5,20.0,Black,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
Himachal Pradesh,127.5,22.0,20.0,Alluvial,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
Himachal Pradesh,127.5,22.0,20.0,Black,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
Madhya Pradesh,235.5,22.0,20.0,Alluvial,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
Madhya Pradesh,235.5,22.0,20.0,Black,rabi,Lentil Pant Lentil-8(Pant L-063),"Phosphate,Nitrogen","15, 824","21,136",60kg,45-60,Moderate,"Barley, Wheat, Oats, Linseed"
Andhra Pradesh,110.75,9.74,30.0,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Andhra Pradesh,110.75,9.74,30.0,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Haryana,47.5,15.0,30.0,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Haryana,47.5,15.0,30.0,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Madhya Pradesh,235.5,22.0,30.0,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Madhya Pradesh,235.5,22.0,30.0,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Manipur,148.8,4.0,30.0,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Manipur,148.8,4.0,30.5,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Odisha,215.0,5.0,30.0,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Odisha,215.0,5.0,30.5,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Punjab,60.0,8.9,30.0,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Punjab,60.0,8.9,30.5,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Sikkim,299.5,50.0,30.0,Latterite,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
Sikkim,299.5,50.0,30.0,Black,Kharif,Bajra,"Nitrogen,Phosphorus,Potash",8000,70414.47817,4.5kg,45-50,Moderate,"Black gram, Moong, Cowpea, Sorghum"
